question,ground_truth,contexts,evolution_type
Công ty Cổ phần DHA Surfaces nộp tờ khai thuế gì và khi nào?,"Công ty Cổ phần DHA Surfaces nộp tờ khai thuế giá trị gia tăng mẫu số 01/GTGT, kỳ tính thuế quý 4 năm 2024. Tờ khai được ký điện tử ngày 24 tháng 01 năm 2025.","[""## Thông tin chung\nTài liệu là tờ khai thuế giá trị gia tăng mẫu số 01/GTGT, kỳ tính thuế quý 4 năm 2024. Người nộp thuế là Công ty Cổ phần DHA Surfaces, mã số thuế 0106769437. Tờ khai được ký điện tử ngày 24 tháng 01 năm 2025 bởi Công ty Cổ phần DHA Surfaces; người đại diện ghi trên tờ khai là Trịnh Thị Sang.""]",simple
Tờ khai thuế giá trị gia tăng mẫu số 01/GTGT được ký điện tử vào ngày 24 tháng 01 năm 2025 bởi ai?,Tờ khai thuế giá trị gia tăng mẫu số 01/GTGT được ký điện tử vào ngày 24 tháng 01 năm 2025 bởi Công ty Cổ phần DHA Surfaces; người đại diện ghi trên tờ khai là Trịnh Thị Sang.,"[""## Thông tin chung\nTài liệu là tờ khai thuế giá trị gia tăng mẫu số 01/GTGT, kỳ tính thuế quý 4 năm 2024. Người nộp thuế là Công ty Cổ phần DHA Surfaces, mã số thuế 0106769437. Tờ khai được ký điện tử ngày 24 tháng 01 năm 2025 bởi Công ty Cổ phần DHA Surfaces; người đại diện ghi trên tờ khai là Trịnh Thị Sang.""]",simple
Giá trị hàng hóa trong kỳ là bao nhiêu và thuế GTGT của hàng hóa đó là bao nhiêu?,"Giá trị hàng hóa, dịch vụ mua vào trong kỳ là 2.405.743.241 đồng. Thuế giá trị gia tăng của hàng hóa, dịch vụ mua vào trong kỳ là 215.163.767 đồng.","[""## Chỉ tiêu thuế GTGT đầu vào\nGiá trị hàng hóa, dịch vụ mua vào trong kỳ là 2.405.743.241 đồng. Thuế giá trị gia tăng của hàng hóa, dịch vụ mua vào trong kỳ là 215.163.767 đồng. Giá trị và thuế GTGT của hàng hóa, dịch vụ nhập khẩu trong kỳ là 0 đồng.""]",simple
"Thuế GTGT của hàng hóa, dịch vụ mua vào trong kỳ là bao nhiêu?","Thuế giá trị gia tăng của hàng hóa, dịch vụ mua vào trong kỳ là 215.163.767 đồng.","[""## Chỉ tiêu thuế GTGT đầu vào\nGiá trị hàng hóa, dịch vụ mua vào trong kỳ là 2.405.743.241 đồng. Thuế giá trị gia tăng của hàng hóa, dịch vụ mua vào trong kỳ là 215.163.767 đồng. Giá trị và thuế GTGT của hàng hóa, dịch vụ nhập khẩu trong kỳ là 0 đồng.""]",simple
Hàng hóa dịch vụ bán ra là gì và thuế suất của nó là bao nhiêu?,"Hàng hóa, dịch vụ bán ra chịu thuế suất 10% có giá trị 3.703.685.610 đồng và thuế giá trị gia tăng tương ứng là 344.675.400 đồng. Hàng hóa, dịch vụ bán ra không chịu thuế GTGT, chịu thuế suất 0% hoặc chịu thuế suất 5% đều ghi nhận giá trị 0 đồng trên tờ khai.","[""## Chỉ tiêu hàng hóa dịch vụ bán ra\nHàng hóa, dịch vụ bán ra chịu thuế suất 10% có giá trị 3.703.685.610 đồng và thuế giá trị gia tăng tương ứng là 344.675.400 đồng. Hàng hóa, dịch vụ bán ra không chịu thuế GTGT, chịu thuế suất 0% hoặc chịu thuế suất 5% đều ghi nhận giá trị 0 đồng trên tờ khai.""]",simple
Giá trị hàng hóa dịch vụ bán ra chịu thuế suất 10% là bao nhiêu?,"Hàng hóa, dịch vụ bán ra chịu thuế suất 10% có giá trị 3.703.685.610 đồng.","[""## Chỉ tiêu hàng hóa dịch vụ bán ra\nHàng hóa, dịch vụ bán ra chịu thuế suất 10% có giá trị 3.703.685.610 đồng và thuế giá trị gia tăng tương ứng là 344.675.400 đồng. Hàng hóa, dịch vụ bán ra không chịu thuế GTGT, chịu thuế suất 0% hoặc chịu thuế suất 5% đều ghi nhận giá trị 0 đồng trên tờ khai.""]",simple
Hàng hóa là gì và tổng doanh thu của nó là bao nhiêu?,"Tổng doanh thu của hàng hóa, dịch vụ bán ra trong kỳ là 3.703.685.610 đồng.","[""## Tổng doanh thu và thuế phát sinh\nTổng doanh thu của hàng hóa, dịch vụ bán ra trong kỳ là 3.703.685.610 đồng. Tổng thuế giá trị gia tăng của hàng hóa, dịch vụ bán ra là 344.675.400 đồng. Thuế giá trị gia tăng phát sinh trong kỳ được xác định là 129.511.633 đồng.""]",simple
Tổng doanh thu từ dịch vụ là bao nhiêu?,"Tổng doanh thu của hàng hóa, dịch vụ bán ra trong kỳ là 3.703.685.610 đồng.","[""## Tổng doanh thu và thuế phát sinh\nTổng doanh thu của hàng hóa, dịch vụ bán ra trong kỳ là 3.703.685.610 đồng. Tổng thuế giá trị gia tăng của hàng hóa, dịch vụ bán ra là 344.675.400 đồng. Thuế giá trị gia tăng phát sinh trong kỳ được xác định là 129.511.633 đồng.""]",simple
Thuế giá trị gia tăng là bao nhiêu?,Thuế giá trị gia tăng phải nộp của hoạt động sản xuất kinh doanh trong kỳ là 52.133.830 đồng.,"[""## Xác định nghĩa vụ thuế\nThuế giá trị gia tăng phải nộp của hoạt động sản xuất kinh doanh trong kỳ là 52.133.830 đồng. Thuế giá trị gia tăng của dự án đầu tư được bù trừ với thuế GTGT còn phải nộp là 0 đồng. Thuế giá trị gia tăng còn phải nộp trong kỳ là 52.133.830 đồng. Thuế giá trị gia tăng đề nghị hoàn và thuế giá trị gia tăng còn được khấu trừ chuyển kỳ sau đều là 0 đồng.""]",simple
Thuế GTGT còn phải nộp là bao nhiêu nếu bù trừ với 0 đồng?,"Thuế giá trị gia tăng còn phải nộp trong kỳ là 52.133.830 đồng, mặc dù thuế giá trị gia tăng của dự án đầu tư được bù trừ với thuế GTGT còn phải nộp là 0 đồng.","[""## Xác định nghĩa vụ thuế\nThuế giá trị gia tăng phải nộp của hoạt động sản xuất kinh doanh trong kỳ là 52.133.830 đồng. Thuế giá trị gia tăng của dự án đầu tư được bù trừ với thuế GTGT còn phải nộp là 0 đồng. Thuế giá trị gia tăng còn phải nộp trong kỳ là 52.133.830 đồng. Thuế giá trị gia tăng đề nghị hoàn và thuế giá trị gia tăng còn được khấu trừ chuyển kỳ sau đều là 0 đồng.""]",simple
